Round Number,Date,Location,Home Team,Away Team,Result
7,29/09/2018 19:45,Etihad Stadium,Man City,Brighton,2 - 0
7,29/09/2018 19:45,St. James' Park,Newcastle,Leicester,0 - 2
7,29/09/2018 19:45,Molineux Stadium,Wolves,Southampton,2 - 0
7,29/09/2018 22:15,Stamford Bridge,Chelsea,Liverpool,1 - 1
7,30/09/2018 20:45,Cardiff City Stadium,Cardiff,Burnley,1 - 2
7,02/10/2018 00:45,Vitality Stadium,Bournemouth,Crystal Palace,2 - 1
8,06/10/2018 00:45,Amex Stadium,Brighton,West Ham,1 - 0
8,06/10/2018 19:45,Turf Moor,Burnley,Huddersfield,1 - 1
8,06/10/2018 19:45,Selhurst Park,Crystal Palace,Wolves,0 - 1
8,06/10/2018 19:45,King Power Stadium,Leicester,Everton,1 - 2
8,06/10/2018 19:45,Wembley Stadium,Spurs,Cardiff,1 - 0
8,06/10/2018 19:45,Vicarage Road,Watford,Bournemouth,0 - 4
8,06/10/2018 22:15,Old Trafford,Man Utd,Newcastle,3 - 2
8,07/10/2018 16:45,Craven Cottage,Fulham,Arsenal,1 - 5
8,07/10/2018 19:00,St. Mary's Stadium,Southampton,Chelsea,0 - 3
8,07/10/2018 21:15,Anfield,Liverpool,Man City,0 - 0
9,20/10/2018 17:15,Stamford Bridge,Chelsea,Man Utd,2 - 2
9,20/10/2018 19:45,Vitality Stadium,Bournemouth,Southampton,0 - 0
9,20/10/2018 19:45,Cardiff City Stadium,Cardiff,Fulham,4 - 2
9,20/10/2018 19:45,Etihad Stadium,Man City,Burnley,5 - 0
9,20/10/2018 19:45,St. James' Park,Newcastle,Brighton,0 - 1
9,20/10/2018 19:45,London Stadium,West Ham,Spurs,0 - 1
9,20/10/2018 19:45,Molineux Stadium,Wolves,Watford,0 - 2
9,20/10/2018 22:15,John Smith's Stadium,Huddersfield,Liverpool,0 - 1
9,21/10/2018 20:45,Goodison Park,Everton,Crystal Palace,2 - 0
9,23/10/2018 00:45,Emirates Stadium,Arsenal,Leicester,3 - 1
10,27/10/2018 19:45,Amex Stadium,Brighton,Wolves,1 - 0
10,27/10/2018 19:45,Craven Cottage,Fulham,Bournemouth,0 - 3
10,27/10/2018 19:45,Anfield,Liverpool,Cardiff,4 - 1
10,27/10/2018 19:45,St. Mary's Stadium,Southampton,Newcastle,0 - 0
10,27/10/2018 19:45,Vicarage Road,Watford,Huddersfield,3 - 0
10,27/10/2018 22:15,King Power Stadium,Leicester,West Ham,1 - 1
10,28/10/2018 19:15,Turf Moor,Burnley,Chelsea,0 - 4
10,28/10/2018 19:15,Selhurst Park,Crystal Palace,Arsenal,2 - 2
10,28/10/2018 21:45,Old Trafford,Man Utd,Everton,2 - 1
10,30/10/2018 01:45,Wembley Stadium,Spurs,Man City,0 - 1
11,03/11/2018 18:15,Vitality Stadium,Bournemouth,Man Utd,1 - 2
11,03/11/2018 20:45,Cardiff City Stadium,Cardiff,Leicester,0 - 1
11,03/11/2018 20:45,Goodison Park,Everton,Brighton,3 - 1
11,03/11/2018 20:45,St. James' Park,Newcastle,Watford,1 - 0
11,03/11/2018 20:45,London Stadium,West Ham,Burnley,4 - 2
11,03/11/2018 23:15,Emirates Stadium,Arsenal,Liverpool,1 - 1
11,04/11/2018 01:30,Molineux Stadium,Wolves,Spurs,2 - 3
11,04/11/2018 20:45,Etihad Stadium,Man City,Southampton,6 - 1
11,04/11/2018 21:45,Stamford Bridge,Chelsea,Crystal Palace,3 - 1
11,06/11/2018 01:45,John Smith's Stadium,Huddersfield,Fulham,1 - 0
12,10/11/2018 18:15,Cardiff City Stadium,Cardiff,Brighton,2 - 1
12,10/11/2018 20:45,John Smith's Stadium,Huddersfield,West Ham,1 - 1
12,10/11/2018 20:45,King Power Stadium,Leicester,Burnley,0 - 0
12,10/11/2018 20:45,St. James' Park,Newcastle,Bournemouth,2 - 1
12,10/11/2018 20:45,St. Mary's Stadium,Southampton,Watford,1 - 1
12,10/11/2018 23:15,Selhurst Park,Crystal Palace,Spurs,0 - 1
12,11/11/2018 17:45,Anfield,Liverpool,Fulham,2 - 0
12,11/11/2018 20:00,Stamford Bridge,Chelsea,Everton,0 - 0
12,11/11/2018 22:15,Emirates Stadium,Arsenal,Wolves,1 - 1
12,11/11/2018 22:15,Etihad Stadium,Man City,Man Utd,3 - 1
13,24/11/2018 20:45,Amex Stadium,Brighton,Leicester,1 - 1
13,24/11/2018 20:45,Goodison Park,Everton,Cardiff,1 - 0
13,24/11/2018 20:45,Craven Cottage,Fulham,Southampton,3 - 2
13,24/11/2018 20:45,Old Trafford,Man Utd,Crystal Palace,0 - 0
13,24/11/2018 20:45,Vicarage Road,Watford,Liverpool,0 - 3
13,24/11/2018 20:45,London Stadium,West Ham,Man City,0 - 4
13,24/11/2018 23:15,Tottenham Hotspur Stadium,Spurs,Chelsea,3 - 1
13,25/11/2018 19:15,Vitality Stadium,Bournemouth,Arsenal,1 - 2
13,25/11/2018 21:45,Molineux Stadium,Wolves,Huddersfield,0 - 2
13,27/11/2018 02:15,Turf Moor,Burnley,Newcastle,1 - 2
14,01/12/2018 01:45,Cardiff City Stadium,Cardiff,Wolves,2 - 1
14,01/12/2018 20:45,Selhurst Park,Crystal Palace,Burnley,2 - 0
14,01/12/2018 20:45,John Smith's Stadium,Huddersfield,Brighton,1 - 2
14,01/12/2018 20:45,King Power Stadium,Leicester,Watford,2 - 0
14,01/12/2018 20:45,Etihad Stadium,Man City,Bournemouth,3 - 1
14,01/12/2018 20:45,St. James' Park,Newcastle,West Ham,0 - 3
14,01/12/2018 23:15,St. Mary's Stadium,Southampton,Man Utd,2 - 2
14,02/12/2018 17:45,Stamford Bridge,Chelsea,Fulham,2 - 0
14,02/12/2018 19:50,Emirates Stadium,Arsenal,Spurs,4 - 2
14,02/12/2018 22:00,Anfield,Liverpool,Everton,1 - 0
15,05/12/2018 01:30,Vitality Stadium,Bournemouth,Huddersfield,2 - 1
15,05/12/2018 01:30,Amex Stadium,Brighton,Crystal Palace,3 - 1
15,05/12/2018 01:30,London Stadium,West Ham,Cardiff,3 - 1
15,05/12/2018 01:45,Vicarage Road,Watford,Man City,1 - 2
15,06/12/2018 01:30,Turf Moor,Burnley,Liverpool,1 - 3
15,06/12/2018 01:30,Craven Cottage,Fulham,Leicester,1 - 1
15,06/12/2018 01:30,Molineux Stadium,Wolves,Chelsea,2 - 1
15,06/12/2018 01:30,Goodison Park,Everton,Newcastle,1 - 1
15,06/12/2018 01:45,Old Trafford,Man Utd,Arsenal,2 - 2
15,06/12/2018 01:45,Tottenham Hotspur Stadium,Spurs,Southampton,3 - 1
16,08/12/2018 18:15,Vitality Stadium,Bournemouth,Liverpool,0 - 4
16,08/12/2018 20:45,Emirates Stadium,Arsenal,Huddersfield,1 - 0
16,08/12/2018 20:45,Turf Moor,Burnley,Brighton,1 - 0
16,08/12/2018 20:45,Cardiff City Stadium,Cardiff,Southampton,1 - 0
16,08/12/2018 20:45,Old Trafford,Man Utd,Fulham,4 - 1
16,08/12/2018 20:45,London Stadium,West Ham,Crystal Palace,3 - 2
16,08/12/2018 23:15,Stamford Bridge,Chelsea,Man City,2 - 0
16,09/12/2018 01:30,King Power Stadium,Leicester,Spurs,0 - 2
16,09/12/2018 21:45,St. James' Park,Newcastle,Wolves,1 - 2
16,11/12/2018 01:45,Goodison Park,Everton,Watford,2 - 2
17,15/12/2018 18:15,Etihad Stadium,Man City,Everton,3 - 1
17,15/12/2018 20:45,Selhurst Park,Crystal Palace,Leicester,1 - 0
