HomeTeam,AwayTeam,Result Predicted,Away win %,Draw %,Home win %
Man Utd,Arsenal,H,33.72274788492971,26.360063373003385,39.917188742066905
Spurs,Southampton,H,33.25576658309316,27.449983840967107,39.29424957593973
Bournemouth,Liverpool,D,28.59807741090441,41.11128840224791,30.290634186847686
Arsenal,Huddersfield,D,24.954657247679325,43.037708425768265,32.0076343265524
Burnley,Brighton,H,36.16613057587231,24.236531590842883,39.59733783328481
Cardiff,Southampton,H,36.646305109522984,25.04528068611857,38.30841420435844
Man Utd,Fulham,H,26.33982078841064,31.48633036415679,42.17384884743257
West Ham,Crystal Palace,A,43.4993232509621,17.928969704346734,38.571707044691166
Chelsea,Man City,D,32.25284706574707,34.25559113308845,33.49156180116449
Leicester,Spurs,D,33.901135105042215,34.73988153075291,31.358983364204875
Newcastle,Wolves,A,40.46597187013221,26.835717470289445,32.69831065957835
Everton,Watford,H,28.288266239564546,23.793635601521157,47.91809815891428
Man City,Everton,D,28.60722713641292,36.914242218778135,34.47853064480894
Crystal Palace,Leicester,A,45.23725747197966,15.967219447415696,38.79552308060464
Huddersfield,Newcastle,H,39.449043884451875,20.138967509397514,40.41198860615061
Spurs,Burnley,H,34.26313037043692,24.26504679462518,41.471822834937896
Watford,Cardiff,A,40.375321356119535,19.914505526116887,39.710173117763574
Wolves,Bournemouth,H,31.675727634099342,33.165622665109204,35.158649700791436
Fulham,West Ham,H,31.8967961255941,32.13499586629378,35.96820800811211
Brighton,Chelsea,D,26.440444371713795,43.999029604634885,29.560526023651317
Southampton,Arsenal,D,32.51838132518827,41.496642273214626,25.984976401597105
Liverpool,Man Utd,D,33.22155792401999,39.6329967668967,27.145445309083314
Wolves,Liverpool,H,33.38308964218227,32.23442736261132,34.3824829952064
Arsenal,Burnley,H,27.48213574427119,32.08664305335338,40.43122120237543
Bournemouth,Brighton,D,28.533652802456494,38.07541291387589,33.39093428366761
Chelsea,Leicester,H,33.3560870070673,29.51138595152203,37.13252704141067
Huddersfield,Southampton,H,31.590897360142016,31.551185880256472,36.85791675960151
Man City,Crystal Palace,H,39.798538336318636,16.192630430244026,44.00883123343734
Newcastle,Fulham,D,29.62026438298156,35.80501602874339,34.574719588275066
West Ham,Watford,H,37.82724908853174,18.840351582279673,43.33239932918858
Cardiff,Man Utd,A,44.872033726745784,22.167304524152254,32.960661749101966
Everton,Spurs,H,31.279159692687504,32.35816077457547,36.36267953273701
Fulham,Wolves,A,37.5607033351762,30.553900339837213,31.885396324986587
Burnley,Everton,D,30.97073468138606,35.4030984200353,33.626166898578646
Crystal Palace,Cardiff,A,48.58070897400745,11.065955515903973,40.35333551008857
Leicester,Man City,D,32.59973269962872,34.35734936787923,33.04291793249205
Liverpool,Newcastle,H,34.145205285805716,30.13792328406063,35.71687143013365
Man Utd,Huddersfield,H,28.580081034799125,33.30880430531619,38.11111465988469
Spurs,Bournemouth,H,34.40377701574342,28.33579857853396,37.26042440572262
Brighton,Arsenal,D,24.863479518729424,47.011065215975236,28.125455265295347
Watford,Chelsea,A,35.72273123472157,32.685860867993775,31.59140789728465
Southampton,West Ham,D,29.969021227461234,39.75214895947749,30.278829813061282
Brighton,Everton,D,19.183415766674205,55.107537648613025,25.70904658471277
Fulham,Huddersfield,D,29.110549713458294,41.463653294326164,29.42579699221553
Leicester,Cardiff,H,37.93165547928618,22.246032840934866,39.822311679778956
Spurs,Wolves,A,40.24896196238165,23.884247204335146,35.86679083328319
Watford,Newcastle,A,37.7875215102013,24.536932532179407,37.675545957619306
Liverpool,Arsenal,D,29.771498353850816,42.34598020508594,27.88252144106324
Crystal Palace,Chelsea,A,45.7720077984899,20.210804317694947,34.01718788381514
Burnley,West Ham,H,34.9392086896245,24.681044666982718,40.37974664339277
Southampton,Man City,D,34.15414082972904,36.861352059406975,28.984507110864
Man Utd,Bournemouth,H,30.73216625962878,27.747485585830624,41.52034815454059
Everton,Leicester,H,30.855399810592658,27.275327628720348,41.869272560687
Arsenal,Fulham,D,23.060412444998086,40.93698514971413,36.002602405287774
Cardiff,Spurs,A,43.62878973908238,20.972000526033153,35.399209734884465
Bournemouth,Watford,H,30.186514447652446,27.457075756612255,42.356409795735296
Chelsea,Southampton,D,26.884489636173868,39.60636201247653,33.5091483513496
Huddersfield,Burnley,H,32.76488990631591,27.912494598144015,39.32261549554007
West Ham,Brighton,A,36.81492681907639,28.01100133617455,35.174071844749065
Wolves,Crystal Palace,H,39.74146634514891,18.91233250179763,41.34620115305346
Newcastle,Man Utd,A,41.27227938828598,27.58130803683363,31.14641257488039
Man City,Liverpool,H,34.147066939536714,28.180339028421848,37.67259403204143
West Ham,Arsenal,A,38.673963237435046,30.13003157756668,31.19600518499828
Brighton,Liverpool,D,23.579348345287364,47.661383508509644,28.75926814620299
Burnley,Fulham,H,30.213708412167456,31.718274940462198,38.06801664737034
Cardiff,Huddersfield,A,35.56299109209575,31.447894957525452,32.989113950378794
Crystal Palace,Watford,H,42.06146150213993,13.60807335813953,44.33046513972055
Leicester,Southampton,D,27.170306312538973,39.75354074946989,33.07615293799114
Chelsea,Newcastle,H,34.924208032540804,27.070246750614935,38.00554521684426
Everton,Bournemouth,D,26.05564162540733,37.723866471403724,36.220491903188936
Spurs,Man Utd,A,41.09549189456946,24.60853448117046,34.29597362426008
Man City,Wolves,A,38.29458055961372,24.652308539104965,37.05311090128131
Wolves,Leicester,H,36.87986095276798,22.919003512484075,40.20113553474795
Bournemouth,West Ham,D,27.441246855216423,38.55218747128048,34.00656567350311
Liverpool,Crystal Palace,H,35.72024273352394,27.82413618627769,36.45562108019837
Man Utd,Brighton,H,31.754855684516414,24.24192196515314,44.00322235033045
Newcastle,Cardiff,A,43.41641552441787,15.586788291329981,40.99679618425214
Southampton,Everton,D,25.373464638569764,50.75799857575376,23.868536785676476
Watford,Burnley,H,31.043838797730483,32.78353292720438,36.17262827506515
Arsenal,Chelsea,H,31.973431100216988,32.1967876674777,35.82978123230532
Huddersfield,Man City,A,37.29200734524928,26.36307721623792,36.34491543851279
Fulham,Spurs,A,37.394776258439386,29.84333616471414,32.76188757684648
Arsenal,Cardiff,H,36.10535581010521,19.341119483509058,44.55352470638572
