,Round Number,Date,Location,Home Team,Away Team,Result,Result Predicted,Away win %,Draw %,Home win %
146,15,06/12/2018 01:30,Molineux Stadium,Wolves,Chelsea,2 - 1,A,36.7081863621117,28.50106636776653,34.79074727012177
147,15,06/12/2018 01:30,Goodison Park,Everton,Newcastle,1 - 1,H,32.302481484444854,24.95780054281279,42.739717972742355
148,15,06/12/2018 01:45,Old Trafford,Man Utd,Arsenal,2 - 2,H,33.72274788492971,26.360063373003385,39.917188742066905
149,15,06/12/2018 01:45,Tottenham Hotspur Stadium,Spurs,Southampton,3 - 1,H,33.25576658309316,27.449983840967107,39.29424957593973
150,16,08/12/2018 18:15,Vitality Stadium,Bournemouth,Liverpool,0 - 4,D,28.59807741090441,41.11128840224791,30.290634186847686
151,16,08/12/2018 20:45,Emirates Stadium,Arsenal,Huddersfield,1 - 0,D,24.954657247679325,43.037708425768265,32.0076343265524
152,16,08/12/2018 20:45,Turf Moor,Burnley,Brighton,1 - 0,H,36.16613057587231,24.236531590842883,39.59733783328481
153,16,08/12/2018 20:45,Cardiff City Stadium,Cardiff,Southampton,1 - 0,H,36.646305109522984,25.04528068611857,38.30841420435844
154,16,08/12/2018 20:45,Old Trafford,Man Utd,Fulham,4 - 1,H,26.33982078841064,31.48633036415679,42.17384884743257
155,16,08/12/2018 20:45,London Stadium,West Ham,Crystal Palace,3 - 2,A,43.4993232509621,17.928969704346734,38.571707044691166
156,16,08/12/2018 23:15,Stamford Bridge,Chelsea,Man City,2 - 0,D,32.25284706574707,34.25559113308845,33.49156180116449
157,16,09/12/2018 01:30,King Power Stadium,Leicester,Spurs,0 - 2,D,33.901135105042215,34.73988153075291,31.358983364204875
158,16,09/12/2018 21:45,St. James' Park,Newcastle,Wolves,1 - 2,A,40.46597187013221,26.835717470289445,32.69831065957835
159,16,11/12/2018 01:45,Goodison Park,Everton,Watford,2 - 2,H,28.288266239564546,23.793635601521157,47.91809815891428
160,17,15/12/2018 18:15,Etihad Stadium,Man City,Everton,3 - 1,D,28.60722713641292,36.914242218778135,34.47853064480894
161,17,15/12/2018 20:45,Selhurst Park,Crystal Palace,Leicester,1 - 0,A,45.23725747197966,15.967219447415696,38.79552308060464
162,17,15/12/2018 20:45,John Smith's Stadium,Huddersfield,Newcastle,0 - 1,H,39.449043884451875,20.138967509397514,40.41198860615061
163,17,15/12/2018 20:45,Tottenham Hotspur Stadium,Spurs,Burnley,1 - 0,H,34.26313037043692,24.26504679462518,41.471822834937896
164,17,15/12/2018 20:45,Vicarage Road,Watford,Cardiff,3 - 2,A,40.375321356119535,19.914505526116887,39.710173117763574
165,17,15/12/2018 20:45,Molineux Stadium,Wolves,Bournemouth,2 - 0,H,31.675727634099342,33.165622665109204,35.158649700791436
166,17,15/12/2018 23:15,Craven Cottage,Fulham,West Ham,0 - 2,H,31.8967961255941,32.13499586629378,35.96820800811211
167,17,16/12/2018 19:15,Amex Stadium,Brighton,Chelsea,1 - 2,D,26.440444371713795,43.999029604634885,29.560526023651317
168,17,16/12/2018 19:15,St. Mary's Stadium,Southampton,Arsenal,3 - 2,D,32.51838132518827,41.496642273214626,25.984976401597105
169,17,16/12/2018 21:45,Anfield,Liverpool,Man Utd,3 - 1,D,33.22155792401999,39.6329967668967,27.145445309083314
170,18,22/12/2018 01:45,Molineux Stadium,Wolves,Liverpool,0 - 2,H,33.38308964218227,32.23442736261132,34.3824829952064
171,18,22/12/2018 18:15,Emirates Stadium,Arsenal,Burnley,3 - 1,H,27.48213574427119,32.08664305335338,40.43122120237543
172,18,22/12/2018 20:45,Vitality Stadium,Bournemouth,Brighton,2 - 0,D,28.533652802456494,38.07541291387589,33.39093428366761
173,18,22/12/2018 20:45,Stamford Bridge,Chelsea,Leicester,0 - 1,H,33.3560870070673,29.51138595152203,37.13252704141067
174,18,22/12/2018 20:45,John Smith's Stadium,Huddersfield,Southampton,1 - 3,H,31.590897360142016,31.551185880256472,36.85791675960151
175,18,22/12/2018 20:45,Etihad Stadium,Man City,Crystal Palace,2 - 3,H,39.798538336318636,16.192630430244026,44.00883123343734
176,18,22/12/2018 20:45,St. James' Park,Newcastle,Fulham,0 - 0,D,29.62026438298156,35.80501602874339,34.574719588275066
177,18,22/12/2018 20:45,London Stadium,West Ham,Watford,0 - 2,H,37.82724908853174,18.840351582279673,43.33239932918858
178,18,22/12/2018 23:15,Cardiff City Stadium,Cardiff,Man Utd,1 - 5,A,44.872033726745784,22.167304524152254,32.960661749101966
179,18,23/12/2018 21:45,Goodison Park,Everton,Spurs,2 - 6,H,31.279159692687504,32.35816077457547,36.36267953273701
180,19,26/12/2018 18:15,Craven Cottage,Fulham,Wolves,1 - 1,A,37.5607033351762,30.553900339837213,31.885396324986587
181,19,26/12/2018 20:45,Turf Moor,Burnley,Everton,1 - 5,D,30.97073468138606,35.4030984200353,33.626166898578646
182,19,26/12/2018 20:45,Selhurst Park,Crystal Palace,Cardiff,0 - 0,A,48.58070897400745,11.065955515903973,40.35333551008857
183,19,26/12/2018 20:45,King Power Stadium,Leicester,Man City,2 - 1,D,32.59973269962872,34.35734936787923,33.04291793249205
184,19,26/12/2018 20:45,Anfield,Liverpool,Newcastle,4 - 0,H,34.145205285805716,30.13792328406063,35.71687143013365
185,19,26/12/2018 20:45,Old Trafford,Man Utd,Huddersfield,3 - 1,H,28.580081034799125,33.30880430531619,38.11111465988469
186,19,26/12/2018 20:45,Tottenham Hotspur Stadium,Spurs,Bournemouth,5 - 0,H,34.40377701574342,28.33579857853396,37.26042440572262
187,19,26/12/2018 23:00,Amex Stadium,Brighton,Arsenal,1 - 1,D,24.863479518729424,47.011065215975236,28.125455265295347
188,19,27/12/2018 01:15,Vicarage Road,Watford,Chelsea,1 - 2,A,35.72273123472157,32.685860867993775,31.59140789728465
189,19,28/12/2018 01:30,St. Mary's Stadium,Southampton,West Ham,1 - 2,D,29.969021227461234,39.75214895947749,30.278829813061282
190,20,29/12/2018 20:45,Amex Stadium,Brighton,Everton,1 - 0,D,19.183415766674205,55.107537648613025,25.70904658471277
191,20,29/12/2018 20:45,Craven Cottage,Fulham,Huddersfield,1 - 0,D,29.110549713458294,41.463653294326164,29.42579699221553
192,20,29/12/2018 20:45,King Power Stadium,Leicester,Cardiff,0 - 1,H,37.93165547928618,22.246032840934866,39.822311679778956
193,20,29/12/2018 20:45,Tottenham Hotspur Stadium,Spurs,Wolves,1 - 3,A,40.24896196238165,23.884247204335146,35.86679083328319
194,20,29/12/2018 20:45,Vicarage Road,Watford,Newcastle,1 - 1,A,37.7875215102013,24.536932532179407,37.675545957619306
195,20,29/12/2018 23:15,Anfield,Liverpool,Arsenal,5 - 1,D,29.771498353850816,42.34598020508594,27.88252144106324
196,20,30/12/2018 17:45,Selhurst Park,Crystal Palace,Chelsea,0 - 1,A,45.7720077984899,20.210804317694947,34.01718788381514
197,20,30/12/2018 20:00,Turf Moor,Burnley,West Ham,2 - 0,H,34.9392086896245,24.681044666982718,40.37974664339277
198,20,30/12/2018 20:00,St. Mary's Stadium,Southampton,Man City,1 - 3,D,34.15414082972904,36.861352059406975,28.984507110864
199,20,30/12/2018 22:15,Old Trafford,Man Utd,Bournemouth,4 - 1,H,30.73216625962878,27.747485585830624,41.52034815454059
200,21,01/01/2019 18:15,Goodison Park,Everton,Leicester,0 - 1,H,30.855399810592658,27.275327628720348,41.869272560687
201,21,01/01/2019 20:45,Emirates Stadium,Arsenal,Fulham,4 - 1,D,23.060412444998086,40.93698514971413,36.002602405287774
202,21,01/01/2019 23:15,Cardiff City Stadium,Cardiff,Spurs,0 - 3,A,43.62878973908238,20.972000526033153,35.399209734884465
203,21,03/01/2019 01:30,Vitality Stadium,Bournemouth,Watford,3 - 3,H,30.186514447652446,27.457075756612255,42.356409795735296
204,21,03/01/2019 01:30,Stamford Bridge,Chelsea,Southampton,0 - 0,D,26.884489636173868,39.60636201247653,33.5091483513496
205,21,03/01/2019 01:30,John Smith's Stadium,Huddersfield,Burnley,1 - 2,H,32.76488990631591,27.912494598144015,39.32261549554007
206,21,03/01/2019 01:30,London Stadium,West Ham,Brighton,2 - 2,A,36.81492681907639,28.01100133617455,35.174071844749065
207,21,03/01/2019 01:30,Molineux Stadium,Wolves,Crystal Palace,0 - 2,H,39.74146634514891,18.91233250179763,41.34620115305346
